,name,student_body,median_parent_income,median_child_income,cost_of_attendance,pell_aid_per_student,institutional_grant_aid_avg,debt_median,student_income_10_years_median,clusters,cluster
654,Cornell College,1082.0,91800,45500,48905.0,1376.399,21695.04,26170.0,43000.0,1,pink
655,Cornell University,14195.0,143300,79800,61608.0,678.6938,19445.08,10912.0,77200.0,3,dark purple
657,Cornerstone University,2020.0,84200,29400,34889.0,1675.936,10080.45,14500.0,35400.0,1,pink
658,Corning Community College,2807.0,65200,30500,11752.0,1373.615,665.55,6108.0,31500.0,2,purple
659,Cornish College of the Arts,765.0,89700,25000,48147.0,1569.7279999999998,8332.45,20500.0,29100.0,1,pink
661,County College of Morris,7250.0,101100,35700,11279.0,886.3973,360.77,5250.0,38300.0,2,purple
662,Covenant College,1066.0,86400,32300,40235.0,1124.538,13983.44,16639.0,41200.0,1,pink
663,Cowley County Community College,2753.0,75300,28800,12459.0,2399.944,1908.72,4500.0,32400.0,2,purple
664,Coyne College,611.0,44200,31400,20312.0,2271.57,2716.28,9500.0,37700.0,0,light pink
665,Craven Community College,2857.0,57200,29600,12094.0,1599.322,1246.44,6500.0,28900.0,0,light pink
666,Creighton University,3977.0,119200,57200,47780.0,739.7133,17591.92,21500.0,59700.0,3,dark purple
667,Spartan College of Aeronautics & Technology,414.0,44700,37600,23944.0,2527.657,0.0,18500.0,47300.0,0,light pink
668,Crowder College,4285.0,51100,24600,9166.0,1644.7979999999998,1039.72,4890.0,28200.0,0,light pink
669,Crown College,1032.0,73500,30000,34943.0,1877.47,8146.7,11750.0,35100.0,2,purple
670,Cuesta College,7864.0,79900,31000,16075.0,606.7328,571.83,5500.0,35600.0,2,purple
671,Culinary Institute of America,2778.0,102800,41800,41305.0,934.9434,4506.29,12000.0,43200.0,1,pink
674,Culver-Stockton College,931.0,78600,38900,34565.0,2102.1,13070.44,14250.0,36600.0,1,pink
675,Cumberland County College,3760.0,59900,32200,13904.0,2247.958,1036.7,6250.0,31400.0,2,purple
676,Cumberland University,1167.0,68800,37500,33764.0,1641.226,9484.2,17250.0,38700.0,2,purple
677,Curry College,2843.0,101600,38800,48778.0,988.5156,9095.25,17237.5,45900.0,1,pink
678,Cuyahoga Community College District,14466.0,57500,26700,10508.0,2184.992,517.47,3500.0,27000.0,0,light pink
680,D'Youville College,1796.0,75800,45200,33178.0,1401.489,10096.2,19500.0,46400.0,1,pink
681,Dabney S Lancaster Community College,706.0,63200,29800,8974.0,1123.023,398.18,5424.0,29100.0,2,purple
682,Daemen College,1965.0,77600,41900,34193.0,1304.325,10018.68,12500.0,42800.0,1,pink
683,Dakota College at Bottineau,465.0,54900,34700,13190.0,1103.7,728.8,5738.0,37900.0,0,light pink
684,Dallas Baptist University,3357.0,87000,39500,34013.0,1027.292,7352.5,14476.0,43200.0,1,pink
685,Cedar Valley College,5962.0,59200,32300,10871.0,1475.172,335.5,4505.0,30400.0,2,purple
686,El Centro College,8796.0,59200,32300,11260.0,1373.35,509.85,5321.0,29700.0,2,purple
687,Mountain View College,7300.0,59200,32300,9648.0,1294.1,394.5,4500.0,32300.0,2,purple
688,Richland College,15865.0,59200,32300,9086.0,985.5463,513.92,4511.0,34100.0,2,purple
689,Eastfield College,12174.0,59200,32300,10082.0,1316.448,498.2,5118.0,32200.0,2,purple
690,North Lake College,8872.0,59200,32300,9663.0,921.2452,469.92,4750.0,37300.0,2,purple
691,Brookhaven College,10160.0,59200,32300,9861.0,880.8016,554.8,5131.0,37200.0,2,purple
692,Dalton State College,4671.0,63500,29700,11221.0,2420.294,1095.16,7136.0,32300.0,2,purple
693,Daniel Webster College,644.0,93800,50300,28612.0,1445.5020000000002,8420.25,10500.0,54200.0,1,pink
694,Danville Area Community College,2212.0,61100,28400,10990.0,1026.002,1687.06,3500.0,28000.0,2,purple
695,Danville Community College,2243.0,59800,29100,10498.0,1784.021,960.96,3500.0,25000.0,0,light pink
696,Dartmouth College,4184.0,185500,76600,63279.0,521.7908,21041.64,10798.0,75500.0,3,dark purple
697,Darton State College,5300.0,63200,28800,11971.0,2050.6910000000003,2744.95,7250.0,29600.0,2,purple
698,Davenport University,6348.0,55800,23400,25082.0,2056.697,5050.55,14750.0,30700.0,0,light pink
711,Davidson College,1765.0,208500,60300,57458.0,525.0391,19206.36,15700.0,58900.0,3,dark purple
712,Davidson County Community College,3478.0,60000,24300,12826.0,3938.421,525.36,8697.0,25600.0,0,light pink
713,Davis & Elkins College,839.0,68000,32700,34587.0,1967.455,11158.29,12875.0,37400.0,2,purple
715,Dawson Community College,237.0,58000,31700,12262.0,1516.66,2716.46,5532.5,29600.0,0,light pink
716,Daytona State College,11815.0,52400,24400,9599.0,1585.055,667.7,3808.0,28700.0,0,light pink
717,DePauw University,2185.0,117700,52900,53410.0,778.0210000000001,20287.68,22500.0,54000.0,3,dark purple
718,DeSales University,2383.0,98800,51100,46691.0,936.1949,11674.74,18453.0,49700.0,1,pink
719,Dean College,1256.0,91400,29800,47892.0,1284.935,12364.1,9500.0,33500.0,1,pink
720,Defiance College,801.0,77900,39900,40814.0,1806.787,12101.4,15000.0,41000.0,1,pink
721,Del Mar College,10439.0,52900,30100,10369.0,1578.586,428.86,3500.0,31800.0,0,light pink
722,Delaware County Community College,12459.0,80800,32100,9249.0,1266.862,687.2,5500.0,36900.0,2,purple
723,Delaware Technical Community College-Owens,3854.0,64600,30000,10950.0,1557.542,873.79,4264.0,30400.0,2,purple
724,Delaware Technical Community College-Terry,2740.0,69900,28900,10855.0,1417.833,492.48,3500.0,31300.0,2,purple
725,Delaware Technical Community College-Stanton/Wilmington,6081.0,82100,33400,10881.0,1005.993,418.74,3500.0,35000.0,2,purple
726,Delaware Valley University,1823.0,90700,45100,46333.0,1138.121,13888.16,16617.0,42100.0,1,pink
727,Delgado Community College,16074.0,43800,25500,12988.0,3431.2070000000003,1377.0,5500.0,29800.0,0,light pink
728,Delta College,8383.0,75800,29200,9045.0,1973.416,1244.4,3750.5,30300.0,2,purple
729,Delta State University,2505.0,71000,37600,18887.0,1985.709,4325.04,10000.0,33700.0,2,purple
730,Denison University,2265.0,149300,53700,56520.0,775.9508,24009.35,21500.0,48800.0,3,dark purple
731,DePaul University,15858.0,99900,51300,48173.0,1324.921,10788.67,17838.0,53300.0,1,pink
732,Des Moines Area Community College,14356.0,72600,32500,14312.0,1160.687,468.8,5272.0,34300.0,2,purple
733,DeVry College of New York,1301.0,56300,40900,32128.0,2059.938,2533.8,14197.0,44100.0,0,light pink
734,DeVry University-Arizona,991.0,56300,40900,31842.0,1698.152,2592.84,14197.0,44100.0,0,light pink
735,DeVry University-California,6435.0,56300,40900,28928.0,1761.236,3423.2,14197.0,44100.0,0,light pink
736,DeVry University-Colorado,747.0,56300,40900,33230.0,1459.878,3034.0,14197.0,44100.0,0,light pink
737,DeVry University-Florida,1962.0,56300,40900,30052.0,1733.06,2628.8,14197.0,44100.0,0,light pink
738,DeVry University-Georgia,2265.0,56300,40900,31067.0,1922.775,3223.08,14197.0,44100.0,0,light pink
739,DeVry University-Illinois,18055.0,56300,40900,31310.0,1710.256,2947.49,14197.0,44100.0,0,light pink
740,DeVry University-Indiana,249.0,56300,40900,28253.0,1588.3339999999998,732.27,14197.0,44100.0,0,light pink
741,DeVry University-Maryland,17.0,56300,40900,35838.0,1631.306,0.0,14197.0,44100.0,0,light pink
742,DeVry University-Michigan,185.0,56300,40900,32263.0,1859.553,2310.0,14197.0,44100.0,0,light pink
743,DeVry University-Minnesota,231.0,56300,40900,31920.0,1530.493,1014.75,14197.0,44100.0,0,light pink
744,DeVry University-Missouri,613.0,56300,40900,30270.0,1670.264,3968.17,14197.0,44100.0,0,light pink
745,DeVry University-Nevada,291.0,56300,40900,31864.0,1731.604,2724.8,14197.0,44100.0,0,light pink
746,DeVry University-New Jersey,1314.0,56300,40900,28409.0,1479.32,2571.12,14197.0,44100.0,0,light pink
747,DeVry University-North Carolina,414.0,56300,40900,33373.0,2015.497,2799.72,14197.0,44100.0,0,light pink
748,DeVry University-Ohio,2314.0,56300,40900,29063.0,1702.121,3106.69,14197.0,44100.0,0,light pink
749,DeVry University-Oklahoma,141.0,56300,40900,28926.0,1732.901,3684.8,14197.0,44100.0,0,light pink
751,DeVry University-Pennsylvania,904.0,56300,40900,30888.0,1653.82,2503.02,14197.0,44100.0,0,light pink
752,DeVry University-Tennessee,272.0,56300,40900,34182.0,1929.498,0.0,14197.0,44100.0,0,light pink
753,DeVry University-Texas,1982.0,56300,40900,32080.0,1726.876,2731.19,14197.0,44100.0,0,light pink
755,DeVry University-Virginia,695.0,56300,40900,30112.0,1230.539,2311.05,14197.0,44100.0,0,light pink
756,DeVry University-Washington,372.0,56300,40900,31318.0,1544.49,2379.3,14197.0,44100.0,0,light pink
757,DeVry University-Wisconsin,136.0,56300,40900,33982.0,1773.725,684.14,14197.0,44100.0,0,light pink
758,Dickinson College,2315.0,136600,55100,60109.0,496.746,16798.04,19500.0,57400.0,3,dark purple
759,Dickinson State University,1231.0,57800,40700,13730.0,859.5585,1345.6,10650.0,41700.0,2,purple
760,DigiPen Institute of Technology,932.0,95200,76000,39035.0,1279.55,2436.1,19500.0,80200.0,1,pink
761,Dillard University,1200.0,42600,36700,26606.0,3470.463,4550.14,23764.0,35400.0,0,light pink
762,Dixie State University,7443.0,76900,27900,17536.0,1865.099,843.63,6500.0,35400.0,2,purple
763,Doane University-Arts & Sciences,1064.0,76600,45100,38380.0,1326.286,12724.47,14250.0,44300.0,1,pink
764,Doane University-Graduate and Professional Studies,656.0,76600,45100,19715.0,1579.5839999999998,0.0,14250.0,44300.0,2,purple
765,Dodge City Community College,1187.0,48000,29500,10879.0,1269.443,734.44,5500.0,34000.0,0,light pink
766,Dominican College of Blauvelt,1483.0,88900,48900,37205.0,1738.822,9190.08,15250.0,46300.0,1,pink
767,Dominican University,2149.0,87300,44300,36761.0,1882.846,13235.95,16500.0,47100.0,1,pink
768,Dominican University of California,1448.0,98100,45200,57579.0,1238.15,17529.33,25000.0,55600.0,1,pink
769,Dordt College,1343.0,80500,35400,38709.0,1167.436,10607.0,19069.0,41700.0,1,pink
770,Dorsey Business Schools-Madison Heights,197.0,43400,20600,28857.0,2984.252,0.0,9235.0,22700.0,0,light pink
771,Dorsey Business Schools-Southgate,143.0,43400,20600,28373.0,2820.627,351.0,9235.0,22700.0,0,light pink
772,Dorsey Business Schools-Wayne,139.0,43400,20600,27179.0,2934.171,1886.0,9235.0,22700.0,0,light pink
773,Dorsey Business Schools-Roseville,480.0,43400,20600,31822.0,3219.607,0.0,9235.0,22700.0,0,light pink
774,Dorsey Business Schools-Farmington Hills,75.0,43400,20600,30378.0,3086.625,0.0,9235.0,22700.0,0,light pink
775,Dorsey Business Schools-Roseville Culinary Academy,163.0,43400,20600,32329.0,3314.5890000000004,400.5,9235.0,22700.0,0,light pink
776,Dorsey Business Schools-Waterford Pontiac,188.0,43400,20600,28975.0,2867.8790000000004,373.5,9235.0,22700.0,0,light pink
777,Dorsey Business Schools-Saginaw,207.0,43400,20600,29375.0,3175.275,396.0,9235.0,22700.0,0,light pink
778,Dorsey Business Schools-Lansing,142.0,43400,20600,31784.0,3557.143,0.0,9235.0,22700.0,0,light pink
780,Douglas J Aveda Institute,826.0,93600,21400,23451.0,2112.141,845.5,9833.0,24200.0,2,purple
781,Dowling College,1281.0,71500,45800,40482.0,1302.582,7660.38,18613.0,42800.0,1,pink
782,Drake University,3290.0,109600,57200,44261.0,658.9536,13928.92,20961.0,58300.0,1,pink
783,Drew University,1356.0,140400,55600,58700.0,1346.346,20575.1,23710.5,52700.0,3,dark purple
784,Drury University,3790.0,74400,34000,33480.0,3902.16,5244.96,12446.0,32200.0,2,purple
785,Duke University,6480.0,196000,87500,61748.0,575.9052,21650.72,6500.0,84400.0,3,dark purple
786,Dunwoody College of Technology,1069.0,89100,51600,31433.0,1968.516,449.43,12000.0,52800.0,1,pink
787,Duquesne University,5969.0,104000,56300,43963.0,774.0761,13570.78,23750.0,58500.0,1,pink
788,Durham Technical Community College,4769.0,59700,24500,11389.0,2041.322,1380.16,5750.0,28800.0,0,light pink
789,Dutchess Community College,6885.0,82900,31900,11191.0,1056.208,318.06,5500.0,32900.0,2,purple
790,Dyersburg State Community College,2001.0,55200,27300,11579.0,1890.643,1040.52,3500.0,27300.0,0,light pink
791,ETI School of Skilled Trades,294.0,63100,37400,27647.0,1848.082,0.0,8023.0,42700.0,2,purple
792,Earlham College,942.0,99100,33300,52710.0,1091.163,23836.26,18500.0,35000.0,1,pink
793,East Arkansas Community College,732.0,36100,19700,9084.0,1899.83,667.12,1999.5,22700.0,0,light pink
794,East Carolina University,21207.0,96000,41200,20710.0,1304.287,2005.44,16250.0,40500.0,1,pink
795,East Central College,2914.0,68000,30000,11081.0,1641.1760000000002,1425.92,6120.0,28600.0,2,purple
796,East Central Community College,2255.0,41600,28000,10273.0,2432.176,1669.27,4500.0,28700.0,0,light pink
797,East Georgia State College,2847.0,57600,27400,11975.0,2660.035,1652.31,5500.0,31500.0,0,light pink
798,East Mississippi Community College,4127.0,44900,25200,10176.0,1677.13,1518.72,5445.0,24900.0,0,light pink
799,East Stroudsburg University of Pennsylvania,6125.0,85700,43000,21947.0,1183.706,2380.04,15000.0,44600.0,1,pink
800,East Tennessee State University,11162.0,75600,33200,21826.0,1767.259,5059.67,12165.0,35100.0,2,purple
801,East Texas Baptist University,1183.0,72500,35900,31716.0,1901.101,7028.33,11000.0,40500.0,2,purple
803,Eastern College of Health Vocations-Little Rock,205.0,29300,17000,15156.0,2303.973,0.0,3412.0,21700.0,0,light pink
804,Eastern College of Health Vocations-New Orleans,153.0,29300,17000,14540.0,2310.295,0.0,3412.0,21700.0,0,light pink
805,Eastern Connecticut State University,4793.0,94900,45000,23717.0,1023.13,1823.4,15000.0,46400.0,1,pink
806,Eastern Florida State College,12454.0,65300,25700,10631.0,1210.958,1127.03,4973.0,29300.0,2,purple
807,Eastern Gateway Community College,2514.0,58100,27100,7482.0,2238.126,1365.6,4000.0,25700.0,0,light pink
808,College of Eastern Idaho,538.0,59900,27100,13091.0,2330.138,1927.26,6947.0,26200.0,0,light pink
809,Eastern Illinois University,7525.0,100100,44800,23811.0,1546.231,1635.56,17333.0,42200.0,1,pink
810,Eastern Iowa Community College District,4062.0,75600,31400,13164.0,2143.323,856.05,5625.0,29400.0,2,purple
811,Eastern Kentucky University,13323.0,69700,33800,18181.0,1731.098,4173.75,12244.0,36100.0,2,purple
812,Eastern Mennonite University,1198.0,90700,39600,40024.0,1031.422,13333.44,13550.0,40300.0,1,pink
813,Eastern Michigan University,17723.0,98400,38500,19532.0,1914.83,3204.16,16111.0,39300.0,1,pink
814,Eastern Nazarene College,1054.0,81600,34400,37563.0,2026.421,13846.8,14750.0,42300.0,1,pink
815,Eastern New Mexico University-Main Campus,3731.0,47200,27500,15405.0,1665.286,559.36,7000.0,29500.0,0,light pink
816,Eastern New Mexico University-Roswell Campus,1847.0,47200,27500,12311.0,1089.976,265.3,7000.0,29500.0,0,light pink
817,Eastern New Mexico University Ruidoso Branch Community College,468.0,47200,27500,12810.0,923.534,0.0,7000.0,29500.0,0,light pink
818,Eastern Oklahoma State College,1325.0,45500,30300,9571.0,478.9422,675.0,7375.0,28100.0,0,light pink
819,Eastern Oregon University,2997.0,74600,37300,20421.0,2324.085,2222.24,12384.5,41200.0,2,purple
821,Eastern University,2381.0,93900,33300,40966.0,1575.671,12127.14,17465.0,42500.0,1,pink
822,Eastern Washington University,12402.0,85900,41700,20365.0,1618.5929999999998,2061.4,14000.0,43100.0,1,pink
823,Eastern Wyoming College,681.0,54500,27800,13455.0,765.4202,1328.73,5500.0,28500.0,0,light pink
824,Eckerd College,2062.0,113100,38800,51708.0,1040.706,15744.1,21500.0,42200.0,1,pink
825,ECPI University,10258.0,53100,30600,24041.0,1586.078,373.52,11902.0,34600.0,0,light pink
840,Skyline College-Roanoke,191.0,53100,30600,24753.0,2237.995,326.7,13626.0,25200.0,0,light pink
841,Edgecombe Community College,2274.0,32500,20800,12067.0,2364.391,470.73,4500.0,25100.0,0,light pink
842,Edgewood College,1863.0,93300,40500,36879.0,1248.743,8999.2,17750.0,43300.0,1,pink
843,Edinboro University of Pennsylvania,5494.0,74800,34600,20026.0,1793.026,2111.36,16250.0,35400.0,2,purple
844,Florida SouthWestern State College,12620.0,61100,29900,14262.0,1522.9520000000002,1080.54,4500.0,34700.0,2,purple
845,Edmonds Community College,4321.0,84300,34400,13600.0,673.1079,271.48,6000.0,37600.0,2,purple
846,Compton College,6734.0,51600,28300,12611.0,846.7853,520.0,3500.0,31800.0,0,light pink
847,El Camino Community College District,22082.0,51600,28300,14709.0,874.8573,0.0,3500.0,31800.0,0,light pink
848,El Paso Community College,27478.0,29200,25700,9602.0,2143.006,1216.8,4084.0,26500.0,0,light pink
849,Nunez Community College,1682.0,47200,23800,13676.0,2721.062,0.0,3500.0,27600.0,0,light pink
850,Elgin Community College,8354.0,91700,34500,9635.0,1004.147,756.6,3500.0,32300.0,2,purple
851,Elizabeth City State University,1763.0,37400,31000,12305.0,3137.781,2069.76,19000.0,30400.0,0,light pink
852,Elizabethtown College,1754.0,98100,50900,49314.0,841.3873,18403.42,23750.0,51300.0,1,pink
854,Elmhurst College,2773.0,100200,48500,44143.0,1261.144,16901.76,17000.0,48300.0,1,pink
855,Elmira College,1318.0,91400,47500,50722.0,1195.582,24000.08,21030.0,45900.0,1,pink
856,Elon University,5782.0,146000,47300,43388.0,363.5914,5923.68,19750.0,51900.0,3,dark purple
857,Embry-Riddle Aeronautical University-Prescott,1971.0,92400,65600,46174.0,1251.884,8721.68,9500.0,66200.0,1,pink
858,Embry-Riddle Aeronautical University-Daytona Beach,4954.0,92400,65600,46614.0,1234.914,7065.12,9500.0,66200.0,1,pink
859,Embry-Riddle Aeronautical University-Worldwide,9625.0,92400,65600,21412.0,614.2719,83.5,9500.0,66200.0,1,pink
860,Emerson College,3757.0,120500,44800,53499.0,689.0689,9479.68,21500.0,46600.0,1,pink
862,Emmanuel College,1967.0,93400,46600,51082.0,987.4343,13426.6,23250.0,49700.0,1,pink
863,Emmanuel College,727.0,67500,29200,26177.0,2215.841,7347.12,12000.0,33600.0,2,purple
864,Emory & Henry College,997.0,84000,40700,41251.0,1699.16,17764.46,17400.0,40700.0,1,pink
865,Emory University,7730.0,175700,67800,59908.0,958.8052,17357.55,16250.0,66000.0,3,dark purple
866,Empire Beauty School-Flagstaff,60.0,55300,14500,17489.0,2641.853,68.25,7351.0,18500.0,0,light pink
867,Empire Beauty School-Chandler,97.0,55300,14500,16811.0,2345.402,52.54,7351.0,18500.0,0,light pink
868,Empire Beauty School-Chenoweth,98.0,55300,14500,15003.0,2077.843,40.32,7351.0,18500.0,0,light pink
869,Empire Beauty School-York,135.0,55300,14500,17756.0,2308.488,115.29,7351.0,18500.0,0,light pink
870,Empire Beauty School-Wyoming Valley,150.0,55300,14500,17388.0,1929.202,100.65,7351.0,18500.0,0,light pink
871,Empire Beauty School-Reading,111.0,55300,14500,19454.0,2053.4410000000003,117.16,7351.0,18500.0,0,light pink
872,Empire Beauty School-Prescott,72.0,55300,14500,16188.0,2855.118,66.36,7351.0,18500.0,0,light pink
873,Empire Beauty School-Malden,134.0,55300,14500,17820.0,2185.3320000000003,68.44,7351.0,18500.0,0,light pink
874,Empire Beauty School-Dunwoody,157.0,55300,14500,18482.0,2806.46,65.6,7351.0,18500.0,0,light pink
875,Empire Beauty School-Midlothian,132.0,55300,14500,18378.0,2672.043,148.96,7351.0,18500.0,0,light pink
876,Empire Beauty School-Lisle,57.0,55300,14500,19065.0,1869.633,48.75,7351.0,18500.0,0,light pink
877,Empire Beauty School-Richmond,108.0,55300,14500,18205.0,2542.963,60.48,7351.0,18500.0,0,light pink
878,Empire Beauty School-Nashville,58.0,55300,14500,16277.0,1811.061,45.76,7351.0,18500.0,0,light pink
880,Empire Beauty School-Paradise Valley,25.0,43000,12700,16188.0,2145.237,66.0,7203.0,17300.0,0,light pink
881,Empire Beauty School-Elizabethtown,162.0,43000,12700,15562.0,2897.091,61.5,7203.0,17300.0,0,light pink
882,Empire Beauty School-Manhattan,585.0,43000,12700,21267.0,2282.871,49.2,7203.0,17300.0,0,light pink
883,Empire Beauty School-Manitowoc,58.0,43000,12700,16161.0,2959.967,194.34,7203.0,17300.0,0,light pink
884,Empire Beauty School-Brooklyn,125.0,43000,12700,19717.0,3721.308,76.36,7203.0,17300.0,0,light pink
885,Empire Beauty School-Littleton,76.0,43000,12700,16979.0,2455.667,51.92,7203.0,17300.0,0,light pink
886,Empire Beauty School-Aurora,138.0,43000,12700,18357.0,3231.04,131.67,7203.0,17300.0,0,light pink
887,Empire Beauty School-Charlotte,124.0,43000,12700,16914.0,3021.7270000000003,63.84,7203.0,17300.0,0,light pink
888,Empire Beauty School-Savannah,151.0,43000,12700,18040.0,2836.327,61.62,7203.0,17300.0,0,light pink
890,Empire Beauty School-Boston,224.0,76000,13200,18014.0,2209.525,90.0,7000.0,16500.0,2,purple
891,Empire Beauty School-Michigan,298.0,76000,13200,16242.0,2401.213,53.25,7000.0,16500.0,2,purple
892,Empire Beauty School-Lebanon,44.0,76000,13200,18005.0,2002.734,204.05,7000.0,16500.0,2,purple
893,Empire Beauty School-Williamsport,33.0,76000,13200,17685.0,2367.105,44.25,7000.0,16500.0,2,purple
894,Empire Beauty School-Harrisburg,133.0,76000,13200,18352.0,2182.442,90.86,7000.0,16500.0,2,purple
895,Empire Beauty School-Providence,113.0,76000,13200,18070.0,2779.893,68.0,7000.0,16500.0,2,purple
896,Empire Beauty School-Center City Philadelphia,349.0,76000,13200,20175.0,2694.3190000000004,53.72,7000.0,16500.0,2,purple
897,Empire Beauty School-Hyannis,72.0,76000,13200,19030.0,2184.4,44.0,7000.0,16500.0,2,purple
898,Empire Beauty School-North Hills,145.0,76000,13200,18619.0,2253.239,121.8,7000.0,16500.0,2,purple
899,Empire Beauty School-E Memphis,155.0,76000,13200,16520.0,2812.547,173.02,7000.0,16500.0,2,purple
901,Empire Beauty School-NW Phoenix,126.0,52200,11300,17014.0,2989.232,68.04,6500.0,18200.0,0,light pink
902,Empire Beauty School-Hanover Park,76.0,52200,11300,18322.0,2261.346,58.48,6500.0,18200.0,0,light pink
903,Empire Beauty School-Florence,137.0,52200,11300,15470.0,2880.4709999999995,64.68,6500.0,18200.0,0,light pink
904,Empire Beauty School-Maine,291.0,52200,11300,16906.0,2468.244,57.6,6500.0,18200.0,0,light pink
905,Empire Beauty School-Ocean,89.0,52200,11300,17854.0,1913.268,41.65,6500.0,18200.0,0,light pink
906,Empire Beauty School-Union,117.0,52200,11300,19360.0,2430.033,51.84,6500.0,18200.0,0,light pink
907,Empire Beauty School-Matthews,77.0,52200,11300,17871.0,3068.617,60.8,6500.0,18200.0,0,light pink
908,Empire Beauty School-Bloomfield,156.0,52200,11300,18678.0,2832.041,53.9,6500.0,18200.0,0,light pink
909,Empire Beauty School-St Paul,61.0,52200,11300,17376.0,2734.675,191.16,6500.0,18200.0,0,light pink
910,Empire Beauty School-Concord,103.0,52200,11300,18007.0,2752.895,70.98,6500.0,18200.0,0,light pink
911,Empire Beauty School-Spring Lake Park,109.0,52200,11300,16619.0,2810.434,215.9,6500.0,18200.0,0,light pink
912,Empire Beauty School-Pineville,109.0,52200,11300,17761.0,2324.36,66.88,6500.0,18200.0,0,light pink
916,Empire Beauty School-Somersworth,101.0,53500,18800,15098.0,1865.311,0.0,6985.0,19500.0,0,light pink
917,Empire Beauty School-Portsmouth,140.0,53500,18800,14794.0,1222.678,0.0,6985.0,19500.0,0,light pink
918,Emporia State University,3777.0,80100,37500,16205.0,1673.167,1607.01,11426.0,37100.0,2,purple
919,Endicott College,2781.0,108400,47500,45323.0,624.2079,8255.25,21500.0,51100.0,1,pink
920,Enterprise State Community College,1729.0,59300,26500,8676.0,1976.35,3023.64,5496.0,31800.0,0,light pink
921,Erie Community College,10624.0,72400,30900,10062.0,1635.662,114.4,4750.0,33500.0,2,purple
922,Erskine College,587.0,94700,37400,46843.0,1397.565,20676.0,14750.0,37400.0,1,pink
924,Eureka College,652.0,76500,41300,28945.0,1483.289,6649.92,18750.0,36000.0,2,purple
926,Evangel University,1788.0,73800,33200,32183.0,1870.37,8269.88,14725.0,35800.0,2,purple
927,Everett Community College,4800.0,82100,32300,12538.0,841.8589999999999,353.16,6000.0,34200.0,2,purple
928,The Evergreen State College,3802.0,100200,27000,22281.0,1916.41,2844.81,13400.0,33200.0,1,pink
929,Fairfield University,3841.0,151500,69900,57966.0,630.1995,12622.13,23750.0,72100.0,3,dark purple
930,Fairleigh Dickinson University-Metropolitan Campus,3870.0,87000,48200,44292.0,1106.887,7927.5,16250.0,48100.0,1,pink
931,Fairleigh Dickinson University-Florham Campus,2359.0,87000,48200,52258.0,1448.585,17518.32,16250.0,48100.0,1,pink
932,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,3142.0,76300,28200,43876.0,1294.452,1122.81,12000.0,37200.0,2,purple
933,FIDM-Fashion Institute of Design & Merchandising-San Francisco,527.0,76300,28200,43339.0,1392.664,862.5,12000.0,37200.0,2,purple
935,FIDM-Fashion Institute of Design & Merchandising-San Diego,142.0,76300,28200,40750.0,2048.326,1409.94,12000.0,37200.0,2,purple
936,Fashion Institute of Technology,8260.0,79800,36700,16660.0,1036.368,195.36,15000.0,48900.0,2,purple
937,Faulkner University,2367.0,63500,26300,30116.0,2413.103,5894.98,12500.0,35400.0,2,purple
938,Fayetteville State University,4862.0,41400,28700,14366.0,2499.21,1336.14,15000.0,31200.0,0,light pink
939,Fayetteville Technical Community College,10598.0,51600,24400,9395.0,2800.302,623.08,4859.0,26000.0,0,light pink
940,Feather River Community College District,1543.0,66000,23400,14478.0,1285.001,819.51,5560.0,29100.0,2,purple
941,Felician University,1629.0,73300,40400,42675.0,1984.105,8438.28,20250.0,47300.0,1,pink
942,Ferris State University,12632.0,82500,42400,21215.0,1744.457,3261.63,15500.0,44500.0,1,pink
943,Ferrum College,1447.0,71100,37000,40553.0,2581.189,15826.0,11500.0,37300.0,1,pink
944,Finger Lakes Community College,4250.0,69100,29200,14588.0,1532.692,180.96,6848.0,30700.0,2,purple
945,Finger Lakes Health College of Nursing,135.0,69100,29200,17210.0,1786.4589999999998,0.0,6848.0,30700.0,2,purple
946,Fisher College,1631.0,55800,27800,41718.0,1655.1129999999998,10435.32,6276.0,34900.0,0,light pink
947,Fitchburg State University,4134.0,89500,45000,17894.0,1260.146,1207.14,13603.5,45700.0,1,pink
948,Flagler College-St Augustine,2767.0,100900,40300,29138.0,1180.485,3036.8,15568.0,38900.0,1,pink
950,Flathead Valley Community College,1625.0,55700,26000,12907.0,1508.7579999999998,1304.73,6553.0,28200.0,0,light pink
951,Florence-Darlington Technical College,6165.0,43900,23700,12035.0,3139.525,0.0,5250.0,25800.0,0,light pink
952,Florida Agricultural and Mechanical University,7995.0,57000,39300,19395.0,2875.053,3418.8,19000.0,37600.0,0,light pink
953,Florida Atlantic University,24228.0,77100,40500,19310.0,1678.495,1849.05,10750.0,43200.0,2,purple
954,Florida College,555.0,85500,30900,26750.0,1496.311,4196.92,9500.0,39100.0,2,purple
955,Cortiva Institute-Pompano,203.0,57300,16200,23332.0,1690.1229999999998,0.0,8107.0,24700.0,0,light pink
956,Cortiva Institute-Miami,202.0,57300,16200,22621.0,1507.195,0.0,8107.0,24700.0,0,light pink
957,Cortiva Institute-Maitland,418.0,57300,16200,21861.0,1585.221,0.0,8107.0,24700.0,0,light pink
958,Florida College of Natural Health-Bradenton,143.0,57300,16200,22600.0,1753.401,0.0,8107.0,24700.0,0,light pink
959,Florida Gateway College,2170.0,52900,27600,9762.0,1628.169,793.76,3500.0,29500.0,0,light pink
